DDD |    1988114   20000000
DDD | 1981027
DDD | 1974038
DDD | 1967096
DDD | 1960364
DDD | 1953917
DDD | 1947541
DDD | 1941199
DDD | 1934938
DDD | 1928910
DDD | 1922980
DDD | 1917212
DDD | 1911469
DDD | 1905796
DDD | 1900214
DDD | 1894743
DDD | 1889352
DDD | 1884039
DDD | 1878776
DDD | 1873594
DDD | 1868501
DDD | 1863458
DDD | 1858508
DDD | 1853668
DDD | 1848853
DDD | 1844139
DDD | 1839443
DDD | 1834804
DDD | 1830202
DDD | 1825657
DDD | 1821187
DDD | 1816753
DDD | 1812332
DDD | 1807945
DDD | 1803671
DDD | 1799465
DDD | 1795294
DDD | 1791179
DDD | 1787095
DDD | 1783056
DDD | 1779102
DDD | 1775163
DDD | 1771342
DDD | 1767565
DDD | 1763852
DDD | 1760173
DDD | 1756528
DDD | 1752899
DDD | 1749303
DDD | 1745765
DDD | 1742261
DDD | 1738794
DDD | 1735341
DDD | 1731920
DDD | 1728529
DDD | 1725162
DDD | 1721810
DDD | 1718516
DDD | 1715269
DDD | 1712035
DDD | 1708819
DDD | 1705635
DDD | 1702473
DDD | 1699322
DDD | 1696221
DDD | 1693136
DDD | 1690078
DDD | 1687052
DDD | 1684075
DDD | 1681127
DDD | 1678217
DDD | 1675340
DDD | 1672481
DDD | 1669644
DDD | 1666823
DDD | 1664036
DDD | 1661267
DDD | 1658513
DDD | 1655787
DDD | 1653076
DDD | 1650411
DDD | 1647780
DDD | 1645183
DDD | 1642593
DDD | 1640030
DDD | 1637472
DDD | 1634923
DDD | 1632381
DDD | 1629874
DDD | 1627411
DDD | 1624956
DDD | 1622509
DDD | 1620072
DDD | 1617675
DDD | 1615290
DDD | 1612912
DDD | 1610545
DDD | 1608229
DDD | 1605924
DDD | 1603639
DDD | 1601380
DDD | 1599142
DDD | 1596913
DDD | 1594700
DDD | 1592501
DDD | 1590334
DDD | 1588175
DDD | 1586029
DDD | 1583897
DDD | 1581780
DDD | 1579679
DDD | 1577604
DDD | 1575539
DDD | 1573484
DDD | 1571433
DDD | 1569409
DDD | 1567391
DDD | 1565382
DDD | 1563393
DDD | 1561408
DDD | 1559438
DDD | 1557470
DDD | 1555514
DDD | 1553587
DDD | 1551667
DDD | 1549753
DDD | 1547847
DDD | 1545953
DDD | 1544073
DDD | 1542208
DDD | 1540352
DDD | 1538506
DDD | 1536699
DDD | 1534895
DDD | 1533106
DDD | 1531329
DDD | 1529569
DDD | 1527819
DDD | 1526076
DDD | 1524346
DDD | 1522632
DDD | 1520925
DDD | 1519228
DDD | 1517537
DDD | 1515851
DDD | 1514174
DDD | 1512513
DDD | 1510867
DDD | 1509245
DDD | 1507629
DDD | 1506018
DDD | 1504415
DDD | 1502816
DDD | 1501225
DDD | 1499641
DDD | 1498060
DDD | 1496486
DDD | 1494929
DDD | 1493375
DDD | 1491832
DDD | 1490330
DDD | 1488835
DDD | 1487346
DDD | 1485869
DDD | 1484413
DDD | 1482966
DDD | 1481532
DDD | 1480102
DDD | 1478677
DDD | 1477255
DDD | 1475841
DDD | 1474436
DDD | 1473035
DDD | 1471636
DDD | 1470247
DDD | 1468872
DDD | 1467505
DDD | 1466141
DDD | 1464783
DDD | 1463427
DDD | 1462077
DDD | 1460730
DDD | 1459396
DDD | 1458074
DDD | 1456759
DDD | 1455458
DDD | 1454164
DDD | 1452876
DDD | 1451592
DDD | 1450315
DDD | 1449043
DDD | 1447778
DDD | 1446519
DDD | 1445274
DDD | 1444034
DDD | 1442801
DDD | 1441571
DDD | 1440346
DDD | 1439126
DDD | 1437909
DDD | 1436696
DDD | 1435494
DDD | 1434309
DDD | 1433129
DDD | 1431952
DDD | 1430777
DDD | 1429624
DDD | 1428476
DDD | 1427332
DDD | 1426193
DDD | 1425062
DDD | 1423934
DDD | 1422813
DDD | 1421699
DDD | 1420589
DDD | 1419485
DDD | 1418385
DDD | 1417299
DDD | 1416217
DDD | 1415138
DDD | 1414060
DDD | 1412993
DDD | 1411935
DDD | 1410884
DDD | 1409838
DDD | 1408805
DDD | 1407778
DDD | 1406756
DDD | 1405738
DDD | 1404722
DDD | 1403710
DDD | 1402700
DDD | 1401699
DDD | 1400703
DDD | 1399711
DDD | 1398725
DDD | 1397747
DDD | 1396771
DDD | 1395808
DDD | 1394848
DDD | 1393902
DDD | 1392959
DDD | 1392024
DDD | 1391093
DDD | 1390163
DDD | 1389236
DDD | 1388310
DDD | 1387388
DDD | 1386471
DDD | 1385560
DDD | 1384651
DDD | 1383750
DDD | 1382858
DDD | 1381972
DDD | 1381090
DDD | 1380217
DDD | 1379345
DDD | 1378476
DDD | 1377608
DDD | 1376745
DDD | 1375888
DDD | 1375034
DDD | 1374192
DDD | 1373352
DDD | 1372515
DDD | 1371681
DDD | 1370850
DDD | 1370024
DDD | 1369203
DDD | 1368392
DDD | 1367592
DDD | 1366794
DDD | 1366001
DDD | 1365213
DDD | 1364433
DDD | 1363655
DDD | 1362880
DDD | 1362108
DDD | 1361344
DDD | 1360583
DDD | 1359825
DDD | 1359070
DDD | 1358319
DDD | 1357572
DDD | 1356828
DDD | 1356093
DDD | 1355359
DDD | 1354636
DDD | 1353915
DDD | 1353195
DDD | 1352480
DDD | 1351768
DDD | 1351058
DDD | 1350353
DDD | 1349653
DDD | 1348954
DDD | 1348256
DDD | 1347562
DDD | 1346871
DDD | 1346182
DDD | 1345498
DDD | 1344818
DDD | 1344142
DDD | 1343474
DDD | 1342807
DDD | 1342143
DDD | 1341484
DDD | 1340829
DDD | 1340178
DDD | 1339530
DDD | 1338891
DDD | 1338257
DDD | 1337628
DDD | 1337003
DDD | 1336382
DDD | 1335763
DDD | 1335146
DDD | 1334532
DDD | 1333924
DDD | 1333321
DDD | 1332720
DDD | 1332127
DDD | 1331537
DDD | 1330949
DDD | 1330365
DDD | 1329789
DDD | 1329219
DDD | 1328651
DDD | 1328085
DDD | 1327523
DDD | 1326965
DDD | 1326410
DDD | 1325857
DDD | 1325305
DDD | 1324755
DDD | 1324208
DDD | 1323663
DDD | 1323119
DDD | 1322576
DDD | 1322035
DDD | 1321499
DDD | 1320964
DDD | 1320434
DDD | 1319906
DDD | 1319379
DDD | 1318858
DDD | 1318342
DDD | 1317830
DDD | 1317319
DDD | 1316811
DDD | 1316304
DDD | 1315798
DDD | 1315298
DDD | 1314801
DDD | 1314306
DDD | 1313814
DDD | 1313325
DDD | 1312839
DDD | 1312356
DDD | 1311882
DDD | 1311409
DDD | 1310940
DDD | 1310473
DDD | 1310008
DDD | 1309548
DDD | 1309091
DDD | 1308638
DDD | 1308191
DDD | 1307745
DDD | 1307302
DDD | 1306861
DDD | 1306422
DDD | 1305992
DDD | 1305563
DDD | 1305138
DDD | 1304715
DDD | 1304294
DDD | 1303876
DDD | 1303461
DDD | 1303050
DDD | 1302643
DDD | 1302238
DDD | 1301835
DDD | 1301434
DDD | 1301035
DDD | 1300641
DDD | 1300250
DDD | 1299860
DDD | 1299474
DDD | 1299097
DDD | 1298723
DDD | 1298350
DDD | 1297981
DDD | 1297615
DDD | 1297252
DDD | 1296893
DDD | 1296535
DDD | 1296181
DDD | 1295829
DDD | 1295481
DDD | 1295136
DDD | 1294793
DDD | 1294452
DDD | 1294112
DDD | 1293776
DDD | 1293448
DDD | 1293121
DDD | 1292796
DDD | 1292475
DDD | 1292156
DDD | 1291838
DDD | 1291522
DDD | 1291208
DDD | 1290896
DDD | 1290586
DDD | 1290277
DDD | 1289970
DDD | 1289665
DDD | 1289361
DDD | 1289061
DDD | 1288762
DDD | 1288467
DDD | 1288176
DDD | 1287892
